training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.40744054,1.1996818,0.0,-79.51715,-110.44672,4.036403,-6.7902937,48.882133,-0.9652283,-79.33557,-110.54999,0.07107253,0.0014545319080352783,772.788108587265,335000
0.4105576,0.7405225,0.0,-80.90514,-97.20463,3.3037348,-9.089506,62.85798,-0.4691739,-80.73681,-97.17753,0.089419514,0.001441805410385132,779.9971394538879,340000
0.38389924,0.5173391,0.0,-78.24688,-96.48676,10.338995,-7.1099157,63.30358,0.11574772,-78.08129,-96.45128,0.03758226,0.0014029159545898438,787.0117235183716,345000
0.41672865,0.8884928,0.0,-78.898026,-108.55661,8.900508,-13.306676,82.68397,0.32154858,-78.70848,-108.63832,0.03738495,0.0014106110572814942,794.0647835731506,350000
0.4221814,0.814512,0.0,-80.678566,-107.293686,8.1180725,-8.158274,73.37967,-2.2178144,-80.502,-107.44625,0.047810953,0.001409553623199463,801.1125574111938,355000
0.44083816,0.47962487,0.0,-80.64187,-105.894196,1.4451656,-2.2079592,41.45701,-0.19825284,-80.51219,-105.902725,0.041755572,0.0013458563804626465,807.8418433666229,360000
0.36601886,0.44143015,0.0,-78.54784,-105.25832,1.4857992,-1.1932317,25.267988,-0.53556067,-78.34497,-105.311325,0.04171093,0.0012984976291656495,814.3343453407288,365000
0.38222188,0.7357229,0.0,-77.10902,-106.90088,8.601996,-4.0228786,60.324364,-0.19254927,-76.90553,-106.97177,0.060438678,0.0013226922988891603,820.947811126709,370000
0.35682887,0.3865573,0.0,-79.25857,-97.71919,2.0545778,-2.7903166,36.941784,-0.03868927,-79.02723,-97.69928,0.04949833,0.0013724034309387208,827.8098323345184,375000
0.34061265,0.8341445,0.0,-77.834595,-96.44704,6.4750996,-9.926916,76.73083,-0.8213388,-77.556046,-96.367676,0.05923816,0.0013215386867523194,834.4175298213959,380000
0.405845,0.70481074,0.0,-77.58827,-109.224686,4.24841,-3.4496522,59.40047,0.07003109,-77.39696,-109.32261,0.04757339,0.0013075366020202637,840.9552171230316,385000
0.39720052,0.47151273,0.0,-79.468445,-96.49917,3.8974476,-4.8421,36.809204,-0.039031416,-79.271,-96.46334,0.047075503,0.0013016779899597168,847.4636108875275,390000
0.40320987,0.53404725,0.0,-79.05581,-104.02392,0.941722,-1.0680379,26.581766,-0.1327012,-78.87935,-104.12074,0.047410548,0.0013022685050964355,853.9749572277069,395000
0.4105377,0.57646453,0.0,-77.4422,-97.6383,4.04727,-4.801301,47.590572,-0.03273934,-77.30081,-97.64266,0.074112035,0.001306747007369995,860.5086975097656,400000
0.4591904,0.9459896,0.0,-79.51795,-97.717316,6.568175,-13.043564,97.96166,-0.0848825,-79.263596,-97.69624,0.111889735,0.012992783117294312,925.472630739212,405000
0.34838665,0.9865787,0.0,-80.412056,-98.45606,17.351664,-9.926258,130.2044,-0.44968924,-80.190506,-98.44247,0.05991569,0.001334859275817871,932.1469354629517,410000
0.40253848,1.0152044,0.0,-78.11583,-101.92676,5.747764,-3.0364587,58.140224,-0.22541946,-77.90807,-101.935295,0.055094205,0.0013167172908782959,938.7305338382721,415000
0.38663048,0.98728967,0.0,-78.13368,-95.940216,8.133804,-8.190803,70.13054,0.286668,-77.92676,-95.898796,0.11643122,0.0012989602088928224,945.2253391742706,420000
0.40446478,0.9839773,0.0,-78.45523,-96.11169,2.8400593,-2.9600239,43.304592,0.012834907,-78.245186,-96.070946,0.071667895,0.0012965646743774413,951.7081663608551,425000
0.45827222,0.84227,0.0,-77.386856,-96.13471,9.825426,-4.8953347,62.92545,-0.16458805,-77.09384,-96.10465,0.059882443,0.0013597935199737548,958.5071380138397,430000
0.42144883,0.7648802,0.0,-78.76443,-97.12677,18.712126,-20.34303,153.95982,-0.11991367,-78.601944,-97.09703,0.17533664,0.0013684672832489013,965.3494772911072,435000
0.39072078,1.0139728,0.0,-77.12963,-95.91307,9.795889,-9.003693,84.07044,-0.4150144,-76.91644,-95.872154,0.097399406,0.0014031744956970215,972.3653535842896,440000
0.40156823,0.7799693,0.0,-75.28214,-98.07502,3.9608319,-6.939873,54.860016,1.0910933,-75.02698,-98.09429,0.04458223,0.0014038468837738037,979.3846006393433,445000
