training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
85.24507,0.3671447,0.033362694,0.23119211,-84.5443,84.5443,0.40765715,0.4759901,-84.667755,-104.66533,1.3050464,-1.5515265,26.955421,0.009627099609375,3748.281564950943,315000
82.16802,0.39174747,0.037849016,0.22946534,-81.39778,81.39778,0.43691245,-4.159827,-81.600075,-103.634186,1.8656094,-1.4013726,28.780334,0.009954296922683716,3798.0530841350555,320000
82.1221,0.42556965,0.03069442,0.21576026,-81.38959,81.38959,0.39524817,-0.27852488,-81.63129,-102.74074,3.578138,-2.5729141,33.84777,0.010037191581726074,3848.2390744686127,325000
84.108,0.39053822,0.034226157,0.21947241,-83.3752,83.3752,0.38511786,-0.045862377,-83.562515,-102.14719,1.6574966,-1.3147004,29.47369,0.010155946636199951,3899.0188314914703,330000
84.31782,0.39774525,0.031465143,0.19702817,-83.60542,83.60542,0.41260332,0.27128398,-83.71278,-102.16004,2.0515714,-4.344254,45.244335,0.010000056266784667,3949.0191559791565,335000
85.582214,0.39171278,0.025617775,0.17191155,-84.934326,84.934326,0.4557097,0.066926196,-85.076515,-103.58028,4.5540996,-9.736162,65.50699,0.010143785333633424,3999.738114833832,340000
83.849754,0.3944872,0.028978284,0.1756926,-83.16548,83.16548,0.35259444,2.9402342,-83.3017,-102.382645,1.3911806,-1.9862286,27.781574,0.00991652750968933,4049.320776462555,345000
82.58129,0.41781908,0.028717713,0.20809925,-81.8763,81.8763,0.57057446,0.14403492,-82.03062,-103.149,3.2345748,-2.108804,38.167915,0.010135037040710448,4099.995997667313,350000
84.20186,0.42039305,0.028116003,0.20947903,-83.500305,83.500305,0.42574555,0.29496485,-83.6438,-102.400505,2.7959466,-1.1812011,27.966148,0.010036083745956421,4150.176452875137,355000
80.66674,0.39388365,0.029136376,0.19343632,-79.98149,79.98149,0.4239732,0.2420516,-80.05662,-102.192955,3.5745726,-6.354218,43.563416,0.009961655569076537,4199.984753847122,360000
83.41761,0.37456197,0.034355495,0.19828424,-82.69949,82.69949,0.49432385,0.15945329,-82.96769,-102.90963,2.31677,-1.7940855,34.33486,0.010132025623321533,4250.644915819168,365000
83.72764,0.38905472,0.033814274,0.22797844,-83.00044,83.00044,0.42408484,0.8099655,-83.13991,-101.78787,0.9361454,-1.243185,26.373304,0.010080899906158448,4301.049450874329,370000
